Series has,Syntax,Description:,Label,parameters,Type,cut_syntax
Constructor,"Series([data, index, dtype, name, copy, ...])",One-dimensional ndarray with axis labels (including time series).,constructor,"['data', 'index', 'dtype', 'name', 'copy', '...']",Function,Series()
Attributes,Series.index,The index (axis labels) of the Series.,index information,,Attribute,Series.index
Attributes,Series.array,The ExtensionArray of the data backing this Series or Index.,convert to array,,Attribute,Series.array
Attributes,Series.values,Return Series as ndarray or ndarray-like depending on the dtype.,find values,,Attribute,Series.values
Attributes,Series.dtype,Return the dtype object of the underlying data.,find datatypes,,Attribute,Series.dtype
Attributes,Series.shape,Return a tuple of the shape of the underlying data.,find rows and columns,,Attribute,Series.shape
Attributes,Series.nbytes,Return the number of bytes in the underlying data.,find bytes,,Attribute,Series.nbytes
Attributes,Series.ndim,"Number of dimensions of the underlying data, by definition 1.",fijnd dimension,,Attribute,Series.ndim
Attributes,Series.size,Return the number of elements in the underlying data.,find number of values,,Attribute,Series.size
Attributes,Series.T,"Return the transpose, which is by definition self.",get transpose,,Attribute,Series.T
Attributes,"Series.memory_usage([index, deep])",Return the memory usage of the Series.,memory used,"['index', 'deep']",Function,Series.memory_usage()
Attributes,Series.hasnans,Return True if there are any NaNs.,find nulls,,Attribute,Series.hasnans
Attributes,Series.empty,Indicator whether Series/DataFrame is empty.,empty,,Attribute,Series.empty
Attributes,Series.dtypes,Return the dtype object of the underlying data.,find datatypes,,Attribute,Series.dtypes
Attributes,Series.name,Return the name of the Series.,series name,,Attribute,Series.name
Attributes,Series.flags,Get the properties associated with this pandas object.,series flags,,Attribute,Series.flags
Attributes,"Series.set_flags(*[, copy, ...])",Return a new object with updated flags.,series set flags,"['*', 'copy', '...']",Function,Series.set_flags()
Conversion,"Series.astype(dtype[, copy, errors])",Cast a pandas object to a specified dtype dtype.,change datatype,"['dtype', 'copy', 'errors']",Function,Series.astype()
Conversion,"Series.convert_dtypes([infer_objects, ...])",Convert columns to best possible dtypes using dtypes supporting pd.NA.,change to best datatype,"['infer_objects', '...']",Function,Series.convert_dtypes()
Conversion,Series.infer_objects(),Attempt to infer better dtypes for object columns.,get best datatype,[''],Function,Series.infer_objects()
Conversion,Series.copy([deep]),Make a copy of this object's indices and data.,copy data,['deep'],Function,Series.copy()
Conversion,Series.bool(),Return the bool of a single element Series or DataFrame.,,[''],Function,Series.bool()
Conversion,"Series.to_numpy([dtype, copy, na_value])",A NumPy ndarray representing the values in this Series or Index.,convert to numpy,"['dtype', 'copy', 'na_value']",Function,Series.to_numpy()
Conversion,"Series.to_period([freq, copy])",Convert Series from DatetimeIndex to PeriodIndex.,convert to period,"['freq', 'copy']",Function,Series.to_period()
Conversion,"Series.to_timestamp([freq, how, copy])","Cast to DatetimeIndex of Timestamps, at beginning of period.",convert to timestamp,"['freq', 'how', 'copy']",Function,Series.to_timestamp()
Conversion,Series.to_list(),Return a list of the values.,convert to list,[''],Function,Series.to_list()
Conversion,Series.__array__([dtype]),Return the values as a NumPy array.,convert to numpy,['dtype'],Function,Series.__array__()
"Indexing, iteration","Series.get(key[, default])",Get item from object for given key (ex: DataFrame column).,get by key,"['key', 'default']",Function,Series.get()
"Indexing, iteration",Series.at,Access a single value for a row/column label pair.,get by index,,Attribute,Series.at
"Indexing, iteration",Series.iat,Access a single value for a row/column pair by integer position.,get by row column,,Attribute,Series.iat
"Indexing, iteration",Series.loc,Access a group of rows and columns by label(s) or a boolean array.,get group by index,,Attribute,Series.loc
"Indexing, iteration",Series.iloc,Purely integer-location based indexing for selection by position.,get by index,,Attribute,Series.iloc
"Indexing, iteration",Series.__iter__(),Return an iterator of the values.,iterator,[''],Function,Series.__iter__()
"Indexing, iteration",Series.items(),"Lazily iterate over (index, value) tuples.",iterate each value,[''],Function,Series.items()
"Indexing, iteration",Series.iteritems(),"(DEPRECATED) Lazily iterate over (index, value) tuples.",iterate each value,[''],Function,Series.iteritems()
"Indexing, iteration",Series.keys(),Return alias for index.,get index,[''],Function,Series.keys()
"Indexing, iteration",Series.pop(item),Return item and drops from series.,remove value,['item'],Function,Series.pop()
"Indexing, iteration",Series.item(),Return the first element of the underlying data as a Python scalar.,get first value,[''],Function,Series.item()
"Indexing, iteration","Series.xs(key[, axis, level, drop_level])",Return cross-section from the Series/DataFrame.,get cross section,"['key', 'axis', 'level', 'drop_level']",Function,Series.xs()
Binary operator functions,"Series.add(other[, level, fill_value, axis])","Return Addition of series and other, element-wise (binary operator add).",add to series,"['other', 'level', 'fill_value', 'axis']",Function,Series.add()
Binary operator functions,"Series.sub(other[, level, fill_value, axis])","Return Subtraction of series and other, element-wise (binary operator sub).",subtract to series,"['other', 'level', 'fill_value', 'axis']",Function,Series.sub()
Binary operator functions,"Series.mul(other[, level, fill_value, axis])","Return Multiplication of series and other, element-wise (binary operator mul).",multiply to series,"['other', 'level', 'fill_value', 'axis']",Function,Series.mul()
Binary operator functions,"Series.div(other[, level, fill_value, axis])","Return Floating division of series and other, element-wise (binary operator truediv).",divide to series,"['other', 'level', 'fill_value', 'axis']",Function,Series.div()
Binary operator functions,"Series.truediv(other[, level, fill_value, axis])","Return Floating division of series and other, element-wise (binary operator truediv).",divide to series,"['other', 'level', 'fill_value', 'axis']",Function,Series.truediv()
Binary operator functions,"Series.floordiv(other[, level, fill_value, axis])","Return Integer division of series and other, element-wise (binary operator floordiv).",floor division,"['other', 'level', 'fill_value', 'axis']",Function,Series.floordiv()
Binary operator functions,"Series.mod(other[, level, fill_value, axis])","Return Modulo of series and other, element-wise (binary operator mod).",mod of series,"['other', 'level', 'fill_value', 'axis']",Function,Series.mod()
Binary operator functions,"Series.pow(other[, level, fill_value, axis])","Return Exponential power of series and other, element-wise (binary operator pow).",take power in series,"['other', 'level', 'fill_value', 'axis']",Function,Series.pow()
Binary operator functions,"Series.radd(other[, level, fill_value, axis])","Return Addition of series and other, element-wise (binary operator radd).",add to series,"['other', 'level', 'fill_value', 'axis']",Function,Series.radd()
Binary operator functions,"Series.rsub(other[, level, fill_value, axis])","Return Subtraction of series and other, element-wise (binary operator rsub).",subtract to series,"['other', 'level', 'fill_value', 'axis']",Function,Series.rsub()
Binary operator functions,"Series.rmul(other[, level, fill_value, axis])","Return Multiplication of series and other, element-wise (binary operator rmul).",multiply to series,"['other', 'level', 'fill_value', 'axis']",Function,Series.rmul()
Binary operator functions,"Series.rdiv(other[, level, fill_value, axis])","Return Floating division of series and other, element-wise (binary operator rtruediv).",divide to series,"['other', 'level', 'fill_value', 'axis']",Function,Series.rdiv()
Binary operator functions,"Series.rtruediv(other[, level, fill_value, axis])","Return Floating division of series and other, element-wise (binary operator rtruediv).",divide to series,"['other', 'level', 'fill_value', 'axis']",Function,Series.rtruediv()
Binary operator functions,"Series.rfloordiv(other[, level, fill_value, ...])","Return Integer division of series and other, element-wise (binary operator rfloordiv).",floor division,"['other', 'level', 'fill_value', '...']",Function,Series.rfloordiv()
Binary operator functions,"Series.rmod(other[, level, fill_value, axis])","Return Modulo of series and other, element-wise (binary operator rmod).",mod of series,"['other', 'level', 'fill_value', 'axis']",Function,Series.rmod()
Binary operator functions,"Series.rpow(other[, level, fill_value, axis])","Return Exponential power of series and other, element-wise (binary operator rpow).",take power in series,"['other', 'level', 'fill_value', 'axis']",Function,Series.rpow()
Binary operator functions,"Series.combine(other, func[, fill_value])",Combine the Series with a Series or scalar according to func.,merge series ,"['other', 'func', 'fill_value']",Function,Series.combine()
Binary operator functions,Series.combine_first(other),Update null elements with value in the same location in 'other'.,fill null according to other series,['other'],Function,Series.combine_first()
Binary operator functions,Series.round([decimals]),Round each value in a Series to the given number of decimals.,round off,['decimals'],Function,Series.round()
Binary operator functions,"Series.lt(other[, level, fill_value, axis])","Return Less than of series and other, element-wise (binary operator lt).",lesser than series,"['other', 'level', 'fill_value', 'axis']",Function,Series.lt()
Binary operator functions,"Series.gt(other[, level, fill_value, axis])","Return Greater than of series and other, element-wise (binary operator gt).",greater than series,"['other', 'level', 'fill_value', 'axis']",Function,Series.gt()
Binary operator functions,"Series.le(other[, level, fill_value, axis])","Return Less than or equal to of series and other, element-wise (binary operator le).",lesser than equal to series,"['other', 'level', 'fill_value', 'axis']",Function,Series.le()
Binary operator functions,"Series.ge(other[, level, fill_value, axis])","Return Greater than or equal to of series and other, element-wise (binary operator ge).",greater than equal to series,"['other', 'level', 'fill_value', 'axis']",Function,Series.ge()
Binary operator functions,"Series.ne(other[, level, fill_value, axis])","Return Not equal to of series and other, element-wise (binary operator ne).",not equal series,"['other', 'level', 'fill_value', 'axis']",Function,Series.ne()
Binary operator functions,"Series.eq(other[, level, fill_value, axis])","Return Equal to of series and other, element-wise (binary operator eq).",equal series,"['other', 'level', 'fill_value', 'axis']",Function,Series.eq()
Binary operator functions,"Series.product([axis, skipna, level, ...])",Return the product of the values over the requested axis.,product by axis,"['axis', 'skipna', 'level', '...']",Function,Series.product()
Binary operator functions,Series.dot(other),Compute the dot product between the Series and the columns of other.,dot product of series,['other'],Function,Series.dot()
"Function application, GroupBy & window","Series.apply(func[, convert_dtype, args])",Invoke function on values of Series.,apply function on series elements,"['func', 'convert_dtype', 'args']",Function,Series.apply()
"Function application, GroupBy & window","Series.agg([func, axis])",Aggregate using one or more operations over the specified axis.,aggregate series,"['func', 'axis']",Function,Series.agg()
"Function application, GroupBy & window","Series.aggregate([func, axis])",Aggregate using one or more operations over the specified axis.,aggregate series,"['func', 'axis']",Function,Series.aggregate()
"Function application, GroupBy & window","Series.transform(func[, axis])",Call func on self producing a Series with the same axis shape as self.,,"['func', 'axis']",Function,Series.transform()
"Function application, GroupBy & window","Series.map(arg[, na_action])",Map values of Series according to an input mapping or function.,map values of series,"['arg', 'na_action']",Function,Series.map()
"Function application, GroupBy & window","Series.groupby([by, axis, level, as_index, ...])",Group Series using a mapper or by a Series of columns.,group according to a function,"['by', 'axis', 'level', 'as_index', '...']",Function,Series.groupby()
"Function application, GroupBy & window","Series.rolling(window[, min_periods, ...])",Provide rolling window calculations.,apply a window on series,"['window', 'min_periods', '...']",Function,Series.rolling()
"Function application, GroupBy & window","Series.expanding([min_periods, center, ...])",Provide expanding window calculations.,apply expanding windows,"['min_periods', 'center', '...']",Function,Series.expanding()
"Function application, GroupBy & window","Series.ewm([com, span, halflife, alpha, ...])",Provide exponentially weighted (EW) calculations.,weighted calculations,"['com', 'span', 'halflife', 'alpha', '...']",Function,Series.ewm()
"Function application, GroupBy & window","Series.pipe(func, *args, **kwargs)",Apply chainable functions that expect Series or DataFrames.,apply chainable functions,"['func', '*args', '**kwargs']",Function,Series.pipe()
Computations / descriptive stats,Series.abs(),Return a Series/DataFrame with absolute numeric value of each element.,absolute of seroes,[''],Function,Series.abs()
Computations / descriptive stats,"Series.all([axis, bool_only, skipna, level])","Return whether all elements are True, potentially over an axis.",all true values,"['axis', 'bool_only', 'skipna', 'level']",Function,Series.all()
Computations / descriptive stats,"Series.any([axis, bool_only, skipna, level])","Return whether any element is True, potentially over an axis.",any true value,"['axis', 'bool_only', 'skipna', 'level']",Function,Series.any()
Computations / descriptive stats,Series.autocorr([lag]),Compute the lag-N autocorrelation.,caluclate autocoreelation,['lag'],Function,Series.autocorr()
Computations / descriptive stats,"Series.between(left, right[, inclusive])",Return boolean Series equivalent to left <= series <= right.,return between a range ,"['left', 'right', 'inclusive']",Function,Series.between()
Computations / descriptive stats,"Series.clip([lower, upper, axis, inplace])",Trim values at input threshold(s).,trim values,"['lower', 'upper', 'axis', 'inplace']",Function,Series.clip()
Computations / descriptive stats,"Series.corr(other[, method, min_periods])","Compute correlation with other Series, excluding missing values.",correlation with other ,"['other', 'method', 'min_periods']",Function,Series.corr()
Computations / descriptive stats,Series.count([level]),Return number of non-NA/null observations in the Series.,count of non nulls,['level'],Function,Series.count()
Computations / descriptive stats,"Series.cov(other[, min_periods, ddof])","Compute covariance with Series, excluding missing values.",covariance with other,"['other', 'min_periods', 'ddof']",Function,Series.cov()
Computations / descriptive stats,"Series.cummax([axis, skipna])",Return cumulative maximum over a DataFrame or Series axis.,cummulative maximum,"['axis', 'skipna']",Function,Series.cummax()
Computations / descriptive stats,"Series.cummin([axis, skipna])",Return cumulative minimum over a DataFrame or Series axis.,cummulative minimum,"['axis', 'skipna']",Function,Series.cummin()
Computations / descriptive stats,"Series.cumprod([axis, skipna])",Return cumulative product over a DataFrame or Series axis.,cummulative product,"['axis', 'skipna']",Function,Series.cumprod()
Computations / descriptive stats,"Series.cumsum([axis, skipna])",Return cumulative sum over a DataFrame or Series axis.,cummulative sum,"['axis', 'skipna']",Function,Series.cumsum()
Computations / descriptive stats,"Series.describe([percentiles, include, ...])",Generate descriptive statistics.,statistics of series,"['percentiles', 'include', '...']",Function,Series.describe()
Computations / descriptive stats,Series.diff([periods]),First discrete difference of element.,difference of values,['periods'],Function,Series.diff()
Computations / descriptive stats,"Series.factorize([sort, na_sentinel, ...])",Encode the object as an enumerated type or categorical variable.,convert to categorical,"['sort', 'na_sentinel', '...']",Function,Series.factorize()
Computations / descriptive stats,"Series.kurt([axis, skipna, level, numeric_only])",Return unbiased kurtosis over requested axis.,kurtosis,"['axis', 'skipna', 'level', 'numeric_only']",Function,Series.kurt()
Computations / descriptive stats,"Series.mad([axis, skipna, level])",(DEPRECATED) Return the mean absolute deviation of the values over the requested axis.,mean absolute deviation,"['axis', 'skipna', 'level']",Function,Series.mad()
Computations / descriptive stats,"Series.max([axis, skipna, level, numeric_only])",Return the maximum of the values over the requested axis.,maximum over axis,"['axis', 'skipna', 'level', 'numeric_only']",Function,Series.max()
Computations / descriptive stats,"Series.mean([axis, skipna, level, numeric_only])",Return the mean of the values over the requested axis.,mean over axis,"['axis', 'skipna', 'level', 'numeric_only']",Function,Series.mean()
Computations / descriptive stats,"Series.median([axis, skipna, level, ...])",Return the median of the values over the requested axis.,median over axis,"['axis', 'skipna', 'level', '...']",Function,Series.median()
Computations / descriptive stats,"Series.min([axis, skipna, level, numeric_only])",Return the minimum of the values over the requested axis.,minimum over axis,"['axis', 'skipna', 'level', 'numeric_only']",Function,Series.min()
Computations / descriptive stats,Series.mode([dropna]),Return the mode(s) of the Series.,mode of series,['dropna'],Function,Series.mode()
Computations / descriptive stats,"Series.nlargest([n, keep])",Return the largest n elements.,largest group of elements,"['n', 'keep']",Function,Series.nlargest()
Computations / descriptive stats,"Series.nsmallest([n, keep])",Return the smallest n elements.,smallest group of elements,"['n', 'keep']",Function,Series.nsmallest()
Computations / descriptive stats,"Series.pct_change([periods, fill_method, ...])",Percentage change between the current and a prior element.,percentage change in elements,"['periods', 'fill_method', '...']",Function,Series.pct_change()
Computations / descriptive stats,"Series.prod([axis, skipna, level, ...])",Return the product of the values over the requested axis.,product by axis,"['axis', 'skipna', 'level', '...']",Function,Series.prod()
Computations / descriptive stats,"Series.quantile([q, interpolation])",Return value at the given quantile.,get quantile,"['q', 'interpolation']",Function,Series.quantile()
Computations / descriptive stats,"Series.rank([axis, method, numeric_only, ...])",Compute numerical data ranks (1 through n) along axis.,get rank,"['axis', 'method', 'numeric_only', '...']",Function,Series.rank()
Computations / descriptive stats,"Series.sem([axis, skipna, level, ddof, ...])",Return unbiased standard error of the mean over requested axis.,mean standard error,"['axis', 'skipna', 'level', 'ddof', '...']",Function,Series.sem()
Computations / descriptive stats,"Series.skew([axis, skipna, level, numeric_only])",Return unbiased skew over requested axis.,skewness,"['axis', 'skipna', 'level', 'numeric_only']",Function,Series.skew()
Computations / descriptive stats,"Series.std([axis, skipna, level, ddof, ...])",Return sample standard deviation over requested axis.,standard deviation,"['axis', 'skipna', 'level', 'ddof', '...']",Function,Series.std()
Computations / descriptive stats,"Series.sum([axis, skipna, level, ...])",Return the sum of the values over the requested axis.,sum by axis,"['axis', 'skipna', 'level', '...']",Function,Series.sum()
Computations / descriptive stats,"Series.var([axis, skipna, level, ddof, ...])",Return unbiased variance over requested axis.,variance by axis,"['axis', 'skipna', 'level', 'ddof', '...']",Function,Series.var()
Computations / descriptive stats,"Series.kurtosis([axis, skipna, level, ...])",Return unbiased kurtosis over requested axis.,kurtosis by axis,"['axis', 'skipna', 'level', '...']",Function,Series.kurtosis()
Computations / descriptive stats,Series.unique(),Return unique values of Series object.,unique values,[''],Function,Series.unique()
Computations / descriptive stats,Series.nunique([dropna]),Return number of unique elements in the object.,number of unique values,['dropna'],Function,Series.nunique()
Computations / descriptive stats,Series.is_unique,Return boolean if values in the object are unique.,unique values,,Attribute,Series.is_unique
Computations / descriptive stats,Series.is_monotonic,(DEPRECATED) Return boolean if values in the object are monotonically increasing.,monotonic ,,Attribute,Series.is_monotonic
Computations / descriptive stats,Series.is_monotonic_increasing,Return boolean if values in the object are monotonically increasing.,increasing values,,Attribute,Series.is_monotonic_increasing
Computations / descriptive stats,Series.is_monotonic_decreasing,Return boolean if values in the object are monotonically decreasing.,decreasing values,,Attribute,Series.is_monotonic_decreasing
Computations / descriptive stats,"Series.value_counts([normalize, sort, ...])",Return a Series containing counts of unique values.,count of unique values,"['normalize', 'sort', '...']",Function,Series.value_counts()
Reindexing / selection / label manipulation,"Series.align(other[, join, axis, level, ...])",Align two objects on their axes with the specified join method.,join,"['other', 'join', 'axis', 'level', '...']",Function,Series.align()
Reindexing / selection / label manipulation,"Series.drop([labels, axis, index, columns, ...])",Return Series with specified index labels removed.,drop values,"['labels', 'axis', 'index', 'columns', '...']",Function,Series.drop()
Reindexing / selection / label manipulation,"Series.droplevel(level[, axis])",Return Series/DataFrame with requested index / column level(s) removed.,drop levels,"['level', 'axis']",Function,Series.droplevel()
Reindexing / selection / label manipulation,"Series.drop_duplicates([keep, inplace])",Return Series with duplicate values removed.,drop duplicates,"['keep', 'inplace']",Function,Series.drop_duplicates()
Reindexing / selection / label manipulation,Series.duplicated([keep]),Indicate duplicate Series values.,duplicates,['keep'],Function,Series.duplicated()
Reindexing / selection / label manipulation,Series.equals(other),Test whether two objects contain the same elements.,equal elements,['other'],Function,Series.equals()
Reindexing / selection / label manipulation,Series.first(offset),Select initial periods of time series data based on a date offset.,initial elements of timeseries,['offset'],Function,Series.first()
Reindexing / selection / label manipulation,Series.head([n]),Return the first n rows.,get first rows,['n'],Function,Series.head()
Reindexing / selection / label manipulation,"Series.idxmax([axis, skipna])",Return the row label of the maximum value.,label of maximum value,"['axis', 'skipna']",Function,Series.idxmax()
Reindexing / selection / label manipulation,"Series.idxmin([axis, skipna])",Return the row label of the minimum value.,lablel of minimum value,"['axis', 'skipna']",Function,Series.idxmin()
Reindexing / selection / label manipulation,Series.isin(values),Whether elements in Series are contained in values.,equal to values,['values'],Function,Series.isin()
Reindexing / selection / label manipulation,Series.last(offset),Select final periods of time series data based on a date offset.,final elements of timeseries,['offset'],Function,Series.last()
Reindexing / selection / label manipulation,"Series.reindex(*args, **kwargs)",Conform Series to new index with optional filling logic.,reindex,"['*args', '**kwargs']",Function,Series.reindex()
Reindexing / selection / label manipulation,"Series.reindex_like(other[, method, copy, ...])",Return an object with matching indices as other object.,reindex like other,"['other', 'method', 'copy', '...']",Function,Series.reindex_like()
Reindexing / selection / label manipulation,"Series.rename([index, axis, copy, inplace, ...])",Alter Series index labels or name.,rename labels,"['index', 'axis', 'copy', 'inplace', '...']",Function,Series.rename()
Reindexing / selection / label manipulation,"Series.rename_axis([mapper, index, columns, ...])",Set the name of the axis for the index or columns.,rename axis,"['mapper', 'index', 'columns', '...']",Function,Series.rename_axis()
Reindexing / selection / label manipulation,"Series.reset_index([level, drop, name, ...])",Generate a new DataFrame or Series with the index reset.,reset index,"['level', 'drop', 'name', '...']",Function,Series.reset_index()
Reindexing / selection / label manipulation,"Series.sample([n, frac, replace, weights, ...])",Return a random sample of items from an axis of object.,random sample,"['n', 'frac', 'replace', 'weights', '...']",Function,Series.sample()
Reindexing / selection / label manipulation,"Series.set_axis(labels[, axis, inplace, copy])",Assign desired index to given axis.,index to axis,"['labels', 'axis', 'inplace', 'copy']",Function,Series.set_axis()
Reindexing / selection / label manipulation,"Series.take(indices[, axis, is_copy])",Return the elements in the given positional indices along an axis.,values by index,"['indices', 'axis', 'is_copy']",Function,Series.take()
Reindexing / selection / label manipulation,Series.tail([n]),Return the last n rows.,get last rows,['n'],Function,Series.tail()
Reindexing / selection / label manipulation,"Series.truncate([before, after, axis, copy])",Truncate a Series or DataFrame before and after some index value.,turnicate series,"['before', 'after', 'axis', 'copy']",Function,Series.truncate()
Reindexing / selection / label manipulation,"Series.where(cond[, other, inplace, axis, ...])",Replace values where the condition is False.,replace,"['cond', 'other', 'inplace', 'axis', '...']",Function,Series.where()
Reindexing / selection / label manipulation,"Series.mask(cond[, other, inplace, axis, ...])",Replace values where the condition is True.,replace,"['cond', 'other', 'inplace', 'axis', '...']",Function,Series.mask()
Reindexing / selection / label manipulation,Series.add_prefix(prefix),Prefix labels with string prefix.,Prefix labels,['prefix'],Function,Series.add_prefix()
Reindexing / selection / label manipulation,Series.add_suffix(suffix),Suffix labels with string suffix.,Suffix labels,['suffix'],Function,Series.add_suffix()
Reindexing / selection / label manipulation,"Series.filter([items, like, regex, axis])",Subset the dataframe rows or columns according to the specified index labels.,filter,"['items', 'like', 'regex', 'axis']",Function,Series.filter()
Missing data handling,"Series.backfill([axis, inplace, limit, downcast])",Synonym for DataFrame.fillna() with method='bfill'.,fill with next value,"['axis', 'inplace', 'limit', 'downcast']",Function,Series.backfill()
Missing data handling,"Series.bfill([axis, inplace, limit, downcast])",Synonym for DataFrame.fillna() with method='bfill'.,fill with next value,"['axis', 'inplace', 'limit', 'downcast']",Function,Series.bfill()
Missing data handling,"Series.dropna([axis, inplace, how])",Return a new Series with missing values removed.,drop missing values,"['axis', 'inplace', 'how']",Function,Series.dropna()
Missing data handling,"Series.ffill([axis, inplace, limit, downcast])",Synonym for DataFrame.fillna() with method='ffill'.,fill with previous value,"['axis', 'inplace', 'limit', 'downcast']",Function,Series.ffill()
Missing data handling,"Series.fillna([value, method, axis, ...])",Fill NA/NaN values using the specified method.,fill with value,"['value', 'method', 'axis', '...']",Function,Series.fillna()
Missing data handling,"Series.interpolate([method, axis, limit, ...])",Fill NaN values using an interpolation method.,fill with regression,"['method', 'axis', 'limit', '...']",Function,Series.interpolate()
Missing data handling,Series.isna(),Detect missing values.,find missing values,[''],Function,Series.isna()
Missing data handling,Series.isnull(),Series.isnull is an alias for Series.isna.,find missing values,[''],Function,Series.isnull()
Missing data handling,Series.notna(),Detect existing (non-missing) values.,find if not null,[''],Function,Series.notna()
Missing data handling,Series.notnull(),Series.notnull is an alias for Series.notna.,find if not null,[''],Function,Series.notnull()
